id,Attr47,Attr57,Attr23,Attr43,Attr29,Attr41,Attr34,Attr55,Attr32,Attr45,Attr58,Attr52,Attr61,Attr44,Attr59,Attr5,Attr12,Attr60,Attr15,Attr28,Attr53,Attr64,Attr1,Attr2,Attr3,Attr6,Attr9,Attr11,Attr22,Attr24,Attr25,Attr35,Attr36,Attr38,Attr48,Attr51,Attr8,Attr16,Attr50,Attr4,Attr33,Attr40,Attr46,Attr13,Attr19,Attr62,class
1,49.394,0.39718,0.11998,114.42,5.9443,0.051402,0.56393,348690.0,94.14,1.0097,0.87804,0.25792,5.1372,71.05,0.001924,32.351,0.6598,8.416,497.42,1.7615,2.2437,7.4277,0.20055,0.37951,0.39641,0.38825,1.1389,0.24976,0.21402,0.47706,0.50494,0.21402,1.741,0.50591,0.1853,0.37854,1.3305,0.73378,2.042,2.0472,3.8772,0.66295,1.5225,0.1666,0.14942,82.658,0
4,84.344,0.14207,0.062782,180.77,4.6511,0.069622,0.37581,20545.0,91.37,0.2872,0.94598,0.25033,3.6147,100.98,0.0,51.952,0.30163,4.5746,917.01,1.9618,2.4524,5.5497,0.081483,0.30734,0.45879,0.14988,1.0571,0.092704,0.1155,0.17193,0.57353,0.1155,1.3562,0.57353,0.085874,0.30734,1.8661,0.39803,2.4928,2.4928,3.9948,0.40139,1.5696,0.094257,0.071428,86.435,0
5,65.936,0.48431,0.11553,141.62,4.1424,0.09668,0.3234,3186.6,147.04,0.73919,0.86515,0.40285,4.3158,84.574,0.12444,-7.3128,0.33147,6.3985,1133.2,1.1184,1.8839,7.898,0.18732,0.61323,0.2296,0.18732,1.1559,0.18732,0.19832,0.18732,0.38677,0.19832,1.6278,0.43489,0.18811,0.56511,0.6307,0.32211,1.2959,1.4063,2.4823,0.29304,0.95787,0.12182,0.11553,127.21,0
9,43.654,0.024512,0.006766,122.74,5.9479,0.30865,1.7697,1.1263,142.09,0.06743,0.84165,0.38046,4.2382,86.122,0.34094,-37.842,0.033921,9.9665,4443.7,0.10319,0.70666,2.5603,0.00902,0.63202,0.053735,0.0,1.3332,0.043162,0.030778,0.000222,0.34828,0.24013,1.3332,0.49344,-0.006701,0.42554,0.58223,0.082138,0.75832,1.1263,2.6284,0.072677,0.81192,0.038938,0.010827,116.5,0
12,90.281,-0.031697,-0.051136,126.62,4.0568,0.068443,-0.22111,1366.5,69.621,-0.18758,1.1021,0.19074,13.461,27.115,0.0,-31.643,-0.21798,3.6683,754.95,0.15597,1.113,0.68991,-0.027117,0.11148,0.11989,-0.084883,0.90732,-0.0243,-0.024649,-0.076857,0.85551,-0.024649,0.58684,0.85551,-0.10285,0.11148,7.6741,0.48347,2.0754,2.0754,5.2427,0.42528,0.77866,0.10164,-0.045825,76.732,0
13,43.023,0.41025,0.092322,103.02,3.9412,0.035883,0.87075,5340.0,43.006,0.88253,0.8875,0.11783,5.6298,64.834,0.07363,43.087,1.0993,9.5593,367.04,7.0728,7.5192,33.413,0.26669,0.34994,0.61147,0.55983,1.1268,0.33207,0.30471,0.51586,0.65006,0.30471,2.9161,0.69793,0.28879,0.30207,1.8577,0.99444,2.6106,3.0243,8.4871,0.32525,2.0239,0.12047,0.11496,38.168,0
14,55.868,0.084542,0.2682,175.19,5.2684,0.12097,0.27021,15132.0,75.693,2.2025,0.79556,0.20738,2.7917,130.74,0.19619,90.606,1.8736,8.2122,926.03,0.093025,0.91375,0.28803,0.067731,0.19885,0.081562,0.21265,1.257,0.078063,0.05373,0.24604,0.80115,0.05373,0.27897,0.95834,0.053417,0.041664,4.029,0.39415,0.61971,2.9576,4.8221,0.048375,2.2195,0.31036,0.30912,60.218,0
15,107.89,-0.037001,-0.036936,137.54,4.8827,-0.54879,-0.23957,34549.0,32.575,-0.12797,0.97644,0.089246,11.338,32.193,0.18063,57.844,-0.50333,3.4646,23292.0,0.94595,1.6482,1.6511,-0.029182,0.21131,0.45264,0.010387,1.0241,-0.034653,-0.050624,0.016014,0.78869,-0.050624,0.80603,0.93115,-0.088588,0.068848,3.7324,0.015671,2.4679,7.5746,11.205,3.2502,4.2624,0.004191,-0.043861,31.807,0
16,43.049,0.18421,-0.01467,136.39,5.438,-0.60828,-0.058416,-56473.0,178.73,-0.12161,1.0228,0.48967,3.9519,92.361,0.0,-74.451,-0.029291,8.2894,-14644.0,-3.9602,-3.5277,44.296,-0.033801,1.154,-0.20599,-0.10413,0.97767,-0.033801,-0.06741,-0.10413,-0.18349,-0.06741,2.3722,-0.18349,-0.072449,1.154,-0.159,-0.024924,0.8215,0.8215,2.0422,0.075411,0.58064,-0.012483,-0.01467,182.81,0
17,40.287,0.40529,0.1494,120.99,4.341,0.026329,1.1205,10278.0,73.647,1.6533,0.81873,0.20177,4.1474,88.006,0.0,73.395,1.1239,11.066,291.52,2.0187,2.875,7.799,0.27053,0.29913,0.4687,0.72793,1.2214,0.33619,0.33518,0.9098,0.6675,0.33518,1.8415,0.6675,0.29684,0.29913,2.2315,1.2521,2.5669,2.5669,4.9561,0.56029,2.0198,0.20684,0.18567,60.297,0
